HeapEnqueue	HeapDequeue	ArrayEnqueue	ArrayDequeue
0.836	0.584	0.565	5.098
0.9095	0.587	0.6485	10.605
1.437	0.478	0.6	5.337
0.814	0.534	0.535	5.393
0.749	0.519	0.545	6.068
0.776	0.479	0.5578333333333334	5.932
0.454	0.544	0.584	5.491
0.439	0.49	0.546	5.341
1.163	0.63	0.537	5.611
0.409	0.698	0.551	6.0
0.7232777777777777	0.6305	0.546	10.456
1.14	0.64	0.559	6.872166666666668
0.423	0.667	0.612	6.468
0.7656666666666667	0.658	0.577	6.314
0.505	0.656	0.595	6.384
0.433	0.295	0.552	6.465
0.535	0.367	0.543	6.376
1.2	0.816	0.539	6.366
0.79	0.989	0.549	7.541
0.48	0.6859999999999999	0.558	6.684
1.136	0.578	0.551	6.481
0.437	0.695	0.54	6.432
0.887	0.671	0.559	5.578
0.8	0.556	0.529	6.138
1.196	0.556	0.538	6.377
0.424	0.713	0.558	5.916
1.118	0.5930000000000001	0.558	6.87
0.924	0.561	0.572	5.393
0.8	0.575	0.57	5.34
0.789	0.597	0.531	5.453
0.425	0.478	0.54	5.364
1.098	0.584	0.543	5.126
0.814	0.555	0.574	4.968
0.805	0.494	0.627	5.001
0.831	0.563	0.571	5.495
0.423	0.47	0.531	7.257
0.434	0.543	0.56	4.978
0.433	0.603	0.557	5.436
0.435	0.528	0.53	5.997
0.766	0.626	0.565	5.121
0.775	0.694	0.55	5.133
0.444	0.539	0.557	5.317
1.1218333333333335	0.556	0.6461666666666667	5.253
0.8759722222222224	0.569	0.936	5.59
0.7021342592592594	0.547	0.709	5.171
0.498	0.509	0.56	5.347
0.474	0.552	0.578	5.048
0.7989999999999999	0.625	0.5810000000000001	5.428
0.492	0.592	0.568	6.112
0.425	0.657	0.543	6.227
0.962	0.601	0.528	6.101
0.6565	0.57	0.513	8.53
0.819	0.449	0.575	5.829
0.422	0.555	0.562	5.46
0.819	0.547	0.535	5.247
0.434	0.596	0.55	5.492
0.745	0.579	0.598	5.627
0.611	0.688	0.536	5.565
1.127	0.537	0.519	5.754
1.471	0.536	0.541	5.252
0.953	0.52	0.575	5.167
0.478	0.44	0.566	5.232
1.277	0.504	0.55	5.373
0.477	0.49	0.667	5.501
0.563	0.539	0.655	5.345
0.434	0.511	0.534	5.444
0.463	0.52	0.543	7.31
0.85	0.617	0.537	6.083
0.47	0.546	0.551	5.493
0.814	0.539	0.542	5.623
0.567	0.592	0.548	5.747
1.247	0.452	0.535	5.65
0.493	0.555	0.541	5.506
0.857	0.592	0.583	5.383
0.9768333333333333	0.599	0.578	5.444
0.786638888888889	0.647	0.627	5.456
0.738	0.567	1.068	5.594
0.809	0.486	0.517	6.13
0.846	0.573	0.552	5.382
0.82	0.498	0.549	5.617
0.408	0.648	0.516	5.419
0.496	0.511	0.539	8.679
0.5916666666666667	0.571	0.552	5.901
0.435	0.548	0.573	5.315
0.798	0.518	0.881	5.835
0.593	0.568	0.801	5.73
0.6945000000000001	0.623	0.581	6.063
0.544	0.627	0.864	6.697
0.897	0.587	0.554	6.32
0.9	0.644	0.577	6.869
0.517	0.633	0.546	7.482
0.826	0.586	0.544	7.237
1.975	0.599	0.565	7.117
1.658	0.625	0.576	7.596
1.246	0.851	0.548	6.587
0.8	0.64	0.599	6.877
0.544	0.639	0.57	8.89
0.9168333333333334	0.668	0.572	6.535
0.6683055555555555	0.611	0.563	6.525
0.43	0.582	0.533	7.318
0.841	0.6	0.582	7.46
0.478	0.628	0.571	7.238
0.6334999999999998	0.533	0.564	7.2
0.499	0.666	0.531	7.135
0.514	0.677	0.52	7.724
1.039	0.551	0.545	6.376
0.5788333333333332	0.52	0.564	6.127
0.534	0.577	0.585	6.367
0.458	0.517	0.541	6.298
0.429	0.849	0.591	5.83
0.978	0.559	0.572	9.496
0.6093333333333334	0.516	0.651	6.609
0.592	0.453	0.538	5.545
0.769	0.531	0.568	6.19
0.43	0.571	0.554	5.758
0.833	0.619	0.517	6.287
0.482	0.499	0.541	6.375
0.5559999999999999	0.536	0.54	5.866
0.438	0.489	0.57	6.532
0.441	0.575	0.583	6.597
0.7119999999999999	0.558	0.552	6.597
0.46	0.564	0.589	6.131
0.845	0.516	0.555	5.972
0.821	0.588	0.584	5.812
0.504	0.508	0.549	11.052
0.7976666666666667	0.56	0.594	5.907
